211 30168 4778 25390 30103
212 29779 4675 25104 29503
213 29407 4546 24861 28947
214 28997 4419 24578 28440
215 28497 4286 24211 27983
216 28070 4144 23926 27591
217 27527 3996 23531 27176
218 26937 3856 23081 26888
219 26286 3705 22581 26666
220 25767 3653 22114 26487
221 25157 3564 21593 26386
222 24545 3394 21151 26342
223 23994 3340 20654 26276
224 23385 3217 20168 26340
225 22824 3241 19583 26387
226 22149 3113 19036 26547
227 21562 3025 18537 26719
228 20960 2878 18082 26922
229 20430 2813 17617 27147
230 19904 2773 17131 27460
231 19367 2815 16552 27778
232 18931 2804 16127 28079
233 18392 2765 15627 28452
234 17935 2715 15220 28932
235 17528 2670 14858 29371
236 17164 2598 14566 29955
237 16797 2553 14244 30513
238 16436 2521 13915 31079
239 16179 2540 13639 31710
240 16033 2558 13475 32236
241 15809 2532 13277 32936
242 15586 2543 13043 33593
243 15418 2532 12886 34248
244 15317 2621 12696 34977
245 15143 2637 12506 35644
246 15031 2636 12395 36412
247 14879 2637 12242 37167
248 14819 2649 12170 37869
249 14805 2725 12080 38612
250 14753 2641 12112 39423
251 14779 2715 12064 40094
252 14819 2813 12006 40837
253 14847 2828 12019 41673
254 14905 2861 12044 42253
255 14950 2905 12045 42928
256 15058 2944 12114 43620
257 15182 2975 12207 44300
258 15292 2969 12323 44893
259 15512 3072 12440 45396
260 15712 3158 12554 45906
261 15951 3306 12645 46335
262 16197 3369 12828 46691
263 16547 3507 13040 47003
264 16846 3569 13277 47325
265 17118 3574 13544 47600
266 17452 3720 13732 47875
267 17793 3799 13994 48050
268 18202 3877 14325 48097
269 18532 3971 14561 48197
270 18883 3991 14892 48305
271 19329 4109 15220 48225
272 19623 4128 15495 48262
273 19936 4171 15765 48179
274 20296 4245 16051 48129
275 20657 4267 16390 47966
276 21097 4455 16642 47690
277 21537 4537 17000 47394
278 21905 4592 17313 47096
279 22340 4701 17639 46695
280 22752 4733 18019 46349
281 23118 4755 18363 45959
282 23430 4838 18592 45487
283 23848 4883 18965 44976
284 24240 4941 19299 44410
285 24648 4947 19701 43884
286 24999 5057 19942 43260
287 25240 5009 20231 42651
288 25531 5053 20478 42046
289 25781 4994 20787 41515
290 26054 5030 21024 40889
291 26322 5040 21282 40242
292 26482 4950 21532 39679
293 26702 4977 21725 39026
294 26858 4976 21882 38411
295 26977 4938 22039 37840
296 27083 4921 22162 37303
297 27172 4917 22255 36706
298 27205 4860 22345 36131
299 27188 4630 22558 35676
300 27071 4574 22497 35131
